,Unnamed: 0,sub_omid,school_name,school_address,school_county,school_type,omid,PIR_id,institution_name,institution_name.1,institution_county,institution_manager,institution_manager_position,institution_phone,institution_fax,institution_web,institution_tax_number,institution_tasks,founder_name,founder_address,maintainer_name,maintainer_address,maintainer_type,maintainer_representative,maintainer_phone,school_type_2,number_of_operational_sub_institution,number_students,number_students_female,number_of_therapeutical_students,full_time_teachers,full_time_teachers_female,number_classrooms,number_classes,number_helper_teachers,number_helper_teachers_female,school_name+address,competency_test_math,competency_test_hu,eng_lang_A,geo_A,info_A,cemistry_A,hu_A,math_A,PE_A,hist_A,eng_lang_midlevel,geo_midlevel,info_midlevel,cemistry_midlevel,hu_midlevel,math_midlevel,PE_midlevel,hist_midlevel,eng_lang_A_%,geo_A_%,info_A_%,cemistry_A_%,hu_A_%,math_A_%,PE_A_%,hist_A_%,eng_lang_midlevel_%,geo_midlevel_%,info_midlevel_%,cemistry_midlevel_%,hu_midlevel_%,math_midlevel_%,PE_midlevel_%,hist_midlevel_%,eng_lang_A_avg,geo_A_avg,info_A_avg,cemistry_A_avg,hu_A_avg,math_A_avg,PE_A_avg,hist_A_avg,eng_lang_midlevel_avg,geo_midlevel_avg,info_midlevel_avg,cemistry_midlevel_avg,hu_midlevel_avg,math_midlevel_avg,PE_midlevel_avg,hist_midlevel_avg,advertised_places,number_applicants,number_applicants_first_place,number_got_in,number_got_in_from_first_place,higher_got_in_score,lowest_got_in_score,bio_A,physics_A,german_lang_A,spanish_lang_A,bio_midlevel,physics_midlevel,german_lang_midlevel,spanish_lang_midlevel,bio_A_%,physics_A_%,german_lang_A_%,spanish_lang_A_%,bio_midlevel_%,physics_midlevel_%,german_lang_midlevel_%,spanish_lang_midlevel_%,bio_A_avg,physics_A_avg,german_lang_A_avg,spanish_lang_A_avg,bio_midlevel_avg,physics_midlevel_avg,german_lang_midlevel_avg,spanish_lang_midlevel_avg,french_lang_A,latin_A,italian_lang_A,music_A,french_lang_midlevel,latin_midlevel,italian_lang_midlevel,music_midlevel,french_lang_A_%,latin_A_%,italian_lang_A_%,music_A_%,french_lang_midlevel_%,latin_midlevel_%,italian_lang_midlevel_%,music_midlevel_%,french_lang_A_avg,latin_A_avg,italian_lang_A_avg,music_A_avg,french_lang_midlevel_avg,latin_midlevel_avg,italian_lang_midlevel_avg,music_midlevel_avg,russian_lang_A,russian_lang_midlevel,russian_lang_A_%,russian_lang_midlevel_%,russian_lang_A_avg,russian_lang_midlevel_avg,beas_lang_A,lovari_lang_A,beas_lang_midlevel,lovari_lang_midlevel,beas_lang_A_%,lovari_lang_A_%,beas_lang_midlevel_%,lovari_lang_midlevel_%,beas_lang_A_avg,lovari_lang_A_avg,beas_lang_midlevel_avg,lovari_lang_midlevel_avg,croatian_lang_A,croatian_lang_midlevel,croatian_lang_A_%,croatian_lang_midlevel_%,croatian_lang_A_avg,croatian_lang_midlevel_avg,polish_lang_A,polish_lang_midlevel,polish_lang_A_%,polish_lang_midlevel_%,polish_lang_A_avg,polish_lang_midlevel_avg,japanese_lang_A,japanese_lang_midlevel,japanese_lang_A_%,japanese_lang_midlevel_%,japanese_lang_A_avg,japanese_lang_midlevel_avg,chinese_lang_A,chinese_lang_midlevel,chinese_lang_A_%,chinese_lang_midlevel_%,chinese_lang_A_avg,chinese_lang_midlevel_avg,hebrew_lang_A,hebrew_lang_midlevel,hebrew_lang_A_%,hebrew_lang_midlevel_%,hebrew_lang_A_avg,hebrew_lang_midlevel_avg,holland_lang_A,holland_lang_midlevel,holland_lang_A_%,holland_lang_midlevel_%,holland_lang_A_avg,holland_lang_midlevel_avg,greek_lang_A,greek_lang_midlevel,greek_lang_A_%,greek_lang_midlevel_%,greek_lang_A_avg,greek_lang_midlevel_avg,esperanto_lang_A,esperanto_lang_midlevel,esperanto_lang_A_%,esperanto_lang_midlevel_%,esperanto_lang_A_avg,esperanto_lang_midlevel_avg,portuguese_lang_A,portuguese_lang_midlevel,portuguese_lang_A_%,portuguese_lang_midlevel_%,portuguese_lang_A_avg,portuguese_lang_midlevel_avg,serbian_lang_A,serbian_lang_midlevel,serbian_lang_A_%,serbian_lang_midlevel_%,serbian_lang_A_avg,serbian_lang_midlevel_avg,romanian_lang_A,romanian_lang_midlevel,romanian_lang_A_%,romanian_lang_midlevel_%,romanian_lang_A_avg,romanian_lang_midlevel_avg,slovakian_lang_A,slovakian_lang_midlevel,slovakian_lang_A_%,slovakian_lang_midlevel_%,slovakian_lang_A_avg,slovakian_lang_midlevel_avg,school_id,school_coords,latitude,longitude
1182,1207,38.0,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola Kiskunhalas IOKK Tagintézménye","6400 Kiskunhalas, Nagy Szeder István utca 1.",Bács-Kiskun,['4 évfolyamos gimnáziumi nevelés-oktatás'],200290.0,,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola","2400 Dunaújváros, Pannon kert 1.",Fejér,Borgulya Zoltán,intézményvezető,25/431-890,25/434-175,"www.humanpszicho.hu, www.pok.suli.hu",18389997-1-07,"szakképző iskola (9-11. évfolyam), technikum (érettségire felkészítő két évfolyam), technikum (kizárólag szakmai képzés), általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, szakközépiskolai nevelés-oktatás (kizárólag szakmai oktatás - 2020.09.01-től kifutó rendszerben)",Humán-Pszicho 2002 Oktató és Szolgáltató Közhasznú Társaság,"2421 Nagyvenyim, Határvölgyi utca 39.",Humán-Pszicho 2002 Oktató és Szolgáltató Nonprofit Kft.,"2421 Nagyvenyim, Határvölgyi utca 39.",nonprofit korlátolt felelősségű társaság,Borgulya Zoltánné,30/641-0783,Gimnázium,32.0,3908.0,1595.0,3.0,95.0,57.0,129.0,110.0,34.0,31.0,,,,,,,,,,,,48,41,23,,65,64,,63,,,,,,,,,50 %,72 %,48 %,,43 %,40 %,,54 %,,,,,,,,,2.96,4.15,3.13,,2.75,2.62,,3.17,,,,,,,,,,,,,,15,,,,,,,,49 %,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200290_38,"[46.4327086, 19.4754771]",46.4327086,19.4754771
1183,1208,39.0,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola Bajai Tagintézménye","6500 Baja, Bezerédj utca 4/a.",Bács-Kiskun,['4 évfolyamos gimnáziumi nevelés-oktatás'],200290.0,,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola","2400 Dunaújváros, Pannon kert 1.",Fejér,Borgulya Zoltán,intézményvezető,25/431-890,25/434-175,"www.humanpszicho.hu, www.pok.suli.hu",18389997-1-07,"szakképző iskola (9-11. évfolyam), technikum (érettségire felkészítő két évfolyam), technikum (kizárólag szakmai képzés), általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, szakközépiskolai nevelés-oktatás (kizárólag szakmai oktatás - 2020.09.01-től kifutó rendszerben)",Humán-Pszicho 2002 Oktató és Szolgáltató Közhasznú Társaság,"2421 Nagyvenyim, Határvölgyi utca 39.",Humán-Pszicho 2002 Oktató és Szolgáltató Nonprofit Kft.,"2421 Nagyvenyim, Határvölgyi utca 39.",nonprofit korlátolt felelősségű társaság,Borgulya Zoltánné,30/641-0783,Gimnázium,32.0,3908.0,1595.0,3.0,95.0,57.0,129.0,110.0,34.0,31.0,,,,,,,,,,,,10,10,,,10,10,,10,,,,,,,,,52 %,67 %,,,46 %,51 %,,56 %,,,,,,,,,3.1,3.9,,,2.8,3.0,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200290_39,"[46.1871179, 18.9543257]",46.1871179,18.9543257
1184,1209,40.0,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola Kalocsa KKK Tagintézménye","6300 Kalocsa, Szent István király út 2-4., 36-38.",Bács-Kiskun,"['általános iskolai nevelés-oktatás (alsó tagozat)', 'általános iskolai nevelés-oktatás (felső tagozat)', '4 évfolyamos gimnáziumi nevelés-oktatás']",200290.0,,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola","2400 Dunaújváros, Pannon kert 1.",Fejér,Borgulya Zoltán,intézményvezető,25/431-890,25/434-175,"www.humanpszicho.hu, www.pok.suli.hu",18389997-1-07,"szakképző iskola (9-11. évfolyam), technikum (érettségire felkészítő két évfolyam), technikum (kizárólag szakmai képzés), általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, szakközépiskolai nevelés-oktatás (kizárólag szakmai oktatás - 2020.09.01-től kifutó rendszerben)",Humán-Pszicho 2002 Oktató és Szolgáltató Közhasznú Társaság,"2421 Nagyvenyim, Határvölgyi utca 39.",Humán-Pszicho 2002 Oktató és Szolgáltató Nonprofit Kft.,"2421 Nagyvenyim, Határvölgyi utca 39.",nonprofit korlátolt felelősségű társaság,Borgulya Zoltánné,30/641-0783,Gimnázium,32.0,3908.0,1595.0,3.0,95.0,57.0,129.0,110.0,34.0,31.0,,,,,,,,,,,,24,43,,,44,44,,44,,,,,,,,,46 %,68 %,,,46 %,50 %,,61 %,,,,,,,,,2.88,3.93,,,2.77,3.0,,3.5,,,,,,,,,,,,5-nél kevesebb,,20,,,,,,40 %,,44 %,,,,,,3.0,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200290_40,"[46.5294539, 18.9737929]",46.5294539,18.973792899999996
1185,1210,41.0,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola Székesfehérvári AMK Tagintézménye","8000 Székesfehérvár, Pirosalma utca 1-3.",Fejér,['4 évfolyamos gimnáziumi nevelés-oktatás'],200290.0,,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola","2400 Dunaújváros, Pannon kert 1.",Fejér,Borgulya Zoltán,intézményvezető,25/431-890,25/434-175,"www.humanpszicho.hu, www.pok.suli.hu",18389997-1-07,"szakképző iskola (9-11. évfolyam), technikum (érettségire felkészítő két évfolyam), technikum (kizárólag szakmai képzés), általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, szakközépiskolai nevelés-oktatás (kizárólag szakmai oktatás - 2020.09.01-től kifutó rendszerben)",Humán-Pszicho 2002 Oktató és Szolgáltató Közhasznú Társaság,"2421 Nagyvenyim, Határvölgyi utca 39.",Humán-Pszicho 2002 Oktató és Szolgáltató Nonprofit Kft.,"2421 Nagyvenyim, Határvölgyi utca 39.",nonprofit korlátolt felelősségű társaság,Borgulya Zoltánné,30/641-0783,Gimnázium,32.0,3908.0,1595.0,3.0,95.0,57.0,129.0,110.0,34.0,31.0,,,,,,,,,,,5-nél kevesebb,27,23,6,,34,32,,32,,,,,,,,43 %,54 %,62 %,38 %,,46 %,43 %,,50 %,,,,,,,,3.0,3.15,3.65,2.33,,2.91,2.66,,3.06,,,,,,,,,,,,5-nél kevesebb,,5,,,,,,75 %,,64 %,,,,,,4.0,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200290_41,"[47.1885376, 18.4180162]",47.1885376,18.418016199999997
1186,1211,42.0,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola Siófoki Tagintézménye","8600 Siófok, Petőfi sétány 1.",Somogy,"['általános iskolai nevelés-oktatás (alsó tagozat)', 'általános iskolai nevelés-oktatás (felső tagozat)', '4 évfolyamos gimnáziumi nevelés-oktatás']",200290.0,,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola","2400 Dunaújváros, Pannon kert 1.",Fejér,Borgulya Zoltán,intézményvezető,25/431-890,25/434-175,"www.humanpszicho.hu, www.pok.suli.hu",18389997-1-07,"szakképző iskola (9-11. évfolyam), technikum (érettségire felkészítő két évfolyam), technikum (kizárólag szakmai képzés), általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, szakközépiskolai nevelés-oktatás (kizárólag szakmai oktatás - 2020.09.01-től kifutó rendszerben)",Humán-Pszicho 2002 Oktató és Szolgáltató Közhasznú Társaság,"2421 Nagyvenyim, Határvölgyi utca 39.",Humán-Pszicho 2002 Oktató és Szolgáltató Nonprofit Kft.,"2421 Nagyvenyim, Határvölgyi utca 39.",nonprofit korlátolt felelősségű társaság,Borgulya Zoltánné,30/641-0783,Gimnázium,32.0,3908.0,1595.0,3.0,95.0,57.0,129.0,110.0,34.0,31.0,,,,5-nél kevesebb,,,,,,,,11,14,,,14,14,,14,58 %,,,,,,,,54 %,69 %,,,66 %,38 %,,59 %,4.0,,,,,,,,3.36,4.0,,,3.86,2.36,,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200290_42,"[46.9111006, 18.0518108]",46.9111006,18.051810800000002
1187,1212,43.0,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola Békéscsaba Széchenyi Utcai Tagintézménye","5600 Békéscsaba, Széchenyi utca 4.",Békés,"['technikum (kizárólag szakmai képzés)', 'szakképző iskola (9-11. évfolyam)', 'technikum (érettségire felkészítő két évfolyam)', '4 évfolyamos gimnáziumi nevelés-oktatás']",200290.0,,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola","2400 Dunaújváros, Pannon kert 1.",Fejér,Borgulya Zoltán,intézményvezető,25/431-890,25/434-175,"www.humanpszicho.hu, www.pok.suli.hu",18389997-1-07,"szakképző iskola (9-11. évfolyam), technikum (érettségire felkészítő két évfolyam), technikum (kizárólag szakmai képzés), általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, szakközépiskolai nevelés-oktatás (kizárólag szakmai oktatás - 2020.09.01-től kifutó rendszerben)",Humán-Pszicho 2002 Oktató és Szolgáltató Közhasznú Társaság,"2421 Nagyvenyim, Határvölgyi utca 39.",Humán-Pszicho 2002 Oktató és Szolgáltató Nonprofit Kft.,"2421 Nagyvenyim, Határvölgyi utca 39.",nonprofit korlátolt felelősségű társaság,Borgulya Zoltánné,30/641-0783,Gimnázium,32.0,3908.0,1595.0,3.0,95.0,57.0,129.0,110.0,34.0,31.0,,,,5-nél kevesebb,,,,,,,,33,34,,,34,34,,34,75 %,,,,,,,,53 %,68 %,,,45 %,46 %,,44 %,5.0,,,,,,,,3.27,4.06,,,2.82,2.41,,2.71,,,,,,,,,,,,5,,,,,,,,63 %,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200290_43,"[46.68200359999999, 21.0992409]",46.68200359999999,21.099240899999998
1192,1218,1.0,"Fehérlófia Waldorf Óvoda, Általános Iskola, Gimnázium és Alapfokú Művészeti Iskola","8248 Nemesvámos, Kossuth utca 24.",Veszprém,"['általános iskolai nevelés-oktatás (alsó tagozat)', 'általános iskolai nevelés-oktatás (felső tagozat)', '4 évfolyamos gimnáziumi nevelés-oktatás', 'érettségire felkészítő évfolyam Waldorf-intézményben', 'alapfokú művészetoktatás zeneművészeti ágon', 'alapfokú művészetoktatás táncművészeti ágon', 'alapfokú művészetoktatás képző- és iparművészeti ágon', 'alapfokú művészetoktatás szín- és bábművészeti ágon']",200300.0,,"Fehérlófia Waldorf Óvoda, Általános Iskola, Gimnázium és Alapfokú Művészeti Iskola","8248 Nemesvámos, Kossuth utca 24.",Veszprém,Krivácsy Zoltán,általános intézményvezető-helyettes,88/265-540,88/265-540,www.feherlofiawaldorf.hu,18935440-2-19,"óvodai nevelés, általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, érettségire felkészítő évfolyam Waldorf-intézményben, alapfokú művészetoktatás zeneművészeti ágon, alapfokú művészetoktatás táncművészeti ágon, alapfokú művészetoktatás képző- és iparművészeti ágon, alapfokú művészetoktatás szín- és bábművészeti ágon",Veszprémi Waldorf Egyesület,"8248 Nemesvámos, Kossuth utca 24.",Veszprémi Waldorf Egyesület,"8248 Nemesvámos, Kossuth utca 24",egyesület,Bocskay Beáta,88/265-540,Gimnázium,1.0,111.0,58.0,11.0,10.0,7.0,5.0,5.0,2.0,1.0,"Fehérlófia Waldorf Óvoda, Általános Iskola, Gimnázium és Alapfokú Művészeti Iskola (8248 Nemesvámos, Kossuth utca 24.)",1571.0,1595.0,10,,5-nél kevesebb,,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,9,5-nél kevesebb,,,20,20,,18,66 %,,94 %,,37 %,66 %,39 %,55 %,77 %,64 %,,,73 %,52 %,,67 %,4.4,,5.0,,2.5,5.0,3.0,4.25,4.33,4.0,,,4.2,2.85,,3.89,24.0,32.0,12.0,12.0,10.0,1.0,23.0,5-nél kevesebb,,,,5-nél kevesebb,5-nél kevesebb,,,34 %,,,,74 %,92 %,,,3.0,,,,4.25,5.0,,,,,5-nél kevesebb,,,,,5-nél kevesebb,,,93 %,,,,,66 %,,,5.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-nél kevesebb,,92 %,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200300_1,"[47.055328, 17.870923]",47.055328,17.870923
1196,1223,1.0,Facultas Humán Gimnázium,"1078 Budapest VII. kerület, Hernád utca 42-46",Budapest,['4 évfolyamos gimnáziumi nevelés-oktatás'],200304.0,,Facultas Humán Gimnázium,"1078 Budapest VII. kerület, Hernád utca 42-46",Budapest,Pap György,megbízott intézményvezető,1/4137362,1/4137361,www.facultas.hu,18196092-1-42,4 évfolyamos gimnáziumi nevelés-oktatás,Facultas Cognoscendi Akadémia Alapítvány,"1078 Budapest, Dembinszky utca 34",Facultas Cognoscendi Akadémia Alapítvány,"1078 Budapest VII. kerület, Dembinszky utca 34.",alapítvány,Dr. Kocsis Zsolt László,30/282-1266,Gimnázium,1.0,416.0,268.0,0.0,19.0,9.0,11.0,11.0,4.0,2.0,"Facultas Humán Gimnázium (1078 Budapest VII. kerület, Hernád utca 42-46)",1598.0,1609.0,16,,,5-nél kevesebb,5-nél kevesebb,,5-nél kevesebb,8,59,45,,,86,87,10,79,60 %,,,16 %,58 %,,47 %,58 %,53 %,50 %,,,53 %,32 %,69 %,49 %,4.0,,,1.0,4.5,,3.0,4.38,3.22,2.98,,,3.17,2.08,4.0,2.99,76.0,185.0,61.0,76.0,43.0,1.0,125.0,5-nél kevesebb,,,,8,,7,,47 %,,,,45 %,,70 %,,4.0,,,,2.75,,4.14,,,,,,5-nél kevesebb,,,5-nél kevesebb,,,,,63 %,,,47 %,,,,,3.75,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200304_1,"[47.5060036, 19.0811553]",47.5060036,19.081155300000002
1197,1224,2.0,Alexandra Általános Iskola és Gimnázium,"4561 Baktalórántháza, Köztársaság tér 15.",Szabolcs-Szatmár-Bereg,"['általános iskolai nevelés-oktatás (alsó tagozat)', 'általános iskolai nevelés-oktatás (felső tagozat)', '4 évfolyamos gimnáziumi nevelés-oktatás']",200324.0,,Alexandra Általános Iskola és Gimnázium,"4561 Baktalórántháza, Köztársaság tér 15.",Szabolcs-Szatmár-Bereg,Kereskényiné dr. Lakatos Melinda,intézményvezető,42/352072,42/352072,www.alexandraiskola.hu,18621666-1-15,"általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás",Lakatos Alexandra,"4561 Baktalórántháza, Köztársaság tér 15.",Alexandra Cogito Oktató és Felnőttképző Közhasznú Nonprofit Korlátolt Felelősségű Társaság,"4561 Baktalórántháza, Köztársaság tér 15.",közhasznú nonprofit korlátolt felelősségű társaság,Lakatos Alexandra,0642/352-072,Gimnázium,1.0,183.0,100.0,0.0,6.0,4.0,5.0,6.0,4.0,3.0,,,,5-nél kevesebb,,,,,5-nél kevesebb,,,5,5-nél kevesebb,5-nél kevesebb,,10,7,,8,67 %,,,,,42 %,,,40 %,41 %,68 %,,58 %,35 %,,50 %,4.67,,,,,3.0,,,2.8,2.75,4.0,,3.6,2.29,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200324_2,"[48.0007466, 22.0726561]",48.0007466,22.072656100000003
1198,1225,3.0,Uzoni Péter Gimnázium és Általános Iskola,"3104 Salgótarján, Nagymező út 5/a",Nógrád,"['általános iskolai nevelés-oktatás (alsó tagozat)', 'általános iskolai nevelés-oktatás (felső tagozat)', '4 évfolyamos gimnáziumi nevelés-oktatás']",200328.0,,Uzoni Péter Gimnázium és Általános Iskola,"3104 Salgótarján, Nagymező út 5/a",Nógrád,Menich Péter István,intézményvezető,32/422555,32/422557,www.uzoni.hu,18639979-2-12,"általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás",Hit Gyülekezete,"1103 Budapest, Gyömrői út 69.",Hit Gyülekezete,"1103 Budapest X. kerület, Gyömrői út 69.",egyházi jogi személy,"Petrőcz László, Németh Sándor, Horváth András",1/4322700,Gimnázium,1.0,59.0,32.0,0.0,8.0,5.0,6.0,4.0,1.0,1.0,"Uzoni Péter Gimnázium és Általános Iskola (3104 Salgótarján, Nagymező út 5/a)",1578.666666666667,1578.0,5-nél kevesebb,5-nél kevesebb,,,5,,5-nél kevesebb,5-nél kevesebb,9,5-nél kevesebb,,,12,17,5-nél kevesebb,14,61 %,23 %,,,44 %,,71 %,58 %,37 %,49 %,,,67 %,44 %,88 %,54 %,4.5,1.0,,,3.2,,5.0,4.33,2.44,3.0,,,3.83,2.71,5.0,3.29,20.0,26.0,18.0,17.0,17.0,3.0,22.0,,,,,5-nél kevesebb,,5-nél kevesebb,,,,,,59 %,,52 %,,,,,,3.75,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200328_3,"[48.0643387, 19.7865127]",48.06433870000001,19.7865127
1199,1226,2.0,"Huszár Gál Gimnázium, Általános Iskola, Alapfokú Művészeti Iskola és Óvoda","4030 Debrecen, Diószegi út 21.",Hajdú-Bihar,"['óvodai nevelés', 'általános iskolai nevelés-oktatás (alsó tagozat)', 'általános iskolai nevelés-oktatás (felső tagozat)', '4 évfolyamos gimnáziumi nevelés-oktatás', 'alapfokú művészetoktatás képző- és iparművészeti ágon']",200329.0,,"Huszár Gál Gimnázium, Általános Iskola, Alapfokú Művészeti Iskola és Óvoda","4030 Debrecen, Diószegi út 21.",Hajdú-Bihar,Máté József,intézményvezető,52/537-078,52/537-079,www.huszargaliskola.hu,18566718-2-09,"óvodai nevelés, általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, alapfokú művészetoktatás képző- és iparművészeti ágon",Hit Gyülekezete,"1103 Budapest X. kerület, Gyömrői út 69.",Hit Gyülekezete,"1103 Budapest X. kerület, Gyömrői út 69.",egyházi jogi személy,"Petrőcz László, Németh Sándor, Horváth András",1/4322700,Gimnázium,1.0,76.0,36.0,1.0,12.0,9.0,7.0,4.0,1.0,0.0,"Huszár Gál Gimnázium, Általános Iskola, Alapfokú Művészeti Iskola és Óvoda (4030 Debrecen, Diószegi út 21.)",1646.666666666667,1663.666666666667,7,,5-nél kevesebb,,,,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,,5-nél kevesebb,,23,23,,19,61 %,,55 %,,,,71 %,56 %,30 %,,66 %,,70 %,65 %,,72 %,4.57,,4.0,,,,5.0,4.25,2.0,,4.0,,4.13,3.91,,4.26,35.0,32.0,18.0,22.0,18.0,2.0,30.0,5-nél kevesebb,,,,5-nél kevesebb,,,,40 %,,,,50 %,,,,3.0,,,,3.0,,,,,,,,,,5-nél kevesebb,,,,,,,,74 %,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200329_2,"[47.5115168, 21.6660963]",47.511516799999995,21.666096300000003
